http://twitter.com/pouvraire/statuses/697803662270267392	screams @ deutsche bahn . __d__	true	negative	Allgemein:negative 	
https://rotehilfech.noblogs.org/post/2016/02/11/deutschland-aufruf-zum-18-marz/	hilfe schweiz wrote a new post , deutschland : aufruf zum 18 . märz , on the site rote hilfe schweiz am 18 . märz , dem tag der politischen gefangenen , wird es erfreulicherweise wieder zahlreiche aktivitäten geben . als erstes wollen wir deshalb die situation der inhaftierten und verfolgten kurz schildern , um aufzuzeigen , wie wichtig es ist , sich zu ihnen solidarisch zu verhalten . verstärkte repression gegen den widerstand seit einiger zeit wird von den herrschenden die repression gegen demonstrantinnen , antifaschistinnen und hausbesetzerinnen verschärft . diese menschen , die sich gegen die staatsgewalt wehren oder militant intervenieren , haben oft das konstrukt des „ gemeinschaftlichen versuchten totschlags “ am hals . zur zeit sind 3 linke fussballfans mathias , schubi und valentin in nürnberg , waldeck und bremen wegen dieses vorwurfs inhaftiert . in hamburg läuft zur zeit ein prozess gegen 6 hausbesetzerinnen . drei von ihnen waren schon bis zu 6 monaten in untersuchungshaft . gegen die anderen drei lautet die anklage ebenfalls versuchter totschlag . einer von ihnen nimmt an diesem verfahren bewusst nicht teil . die klassenjustiz versucht mit solchen anklagen uns lange in den knast zu stecken , damit abzuschrecken und somit friedshofsruhe im herzen der bestie wieder herzustellen . verfolgung linker migrantischer strukturen geht weiter auch die repression gegen kurdische und türkische strukturen hält weiter an . als juristische waffe dient den herrschenden dabei der § 129 b , der die „ mitgliedschaft bzw. die unterstützung in/für eine terroristische vereinigung im ausland “ unter strafe stellt . in langjähriger tradition richtet sich die verfolgung insbesondere gegen linke migrantische organisationen , denen die mitgliedschaft in der pkk1 , der dhkp-c2 oder jetzt auch in der tkp-ml3 vorgeworfen wird . am 15 . april 2015 wurden in deutschland 7 und 4 weitere in der schweiz , frankreich und griechenland , also insgesamt 11 atik mitglieder ( konföderation der arbeiter aus der türkei ) verhaftet . vorgeworfen wird ihnen mitglieder der tkp/ml ( kommunistische partei der türkei/marxistisch-leninistisch ) zu sein , dass sie gelder gesammelt , die aktivitäten der organisation in der türkei unterstützt und in deutschland kämpferinnen für rojava ausgebildet haben sollen . weitere verurteilungen wegen §129b wegen angeblicher „ dhkp-c “-mitgliedschaft wurden in stuttgart im juli özgür aslan zu 4 jahre und 9 monate , sonnur demiray zu 5 jahre 6 monate , yusuf tas und muzaffer dogan zu jeweils 6 jahre , verurteilt . am 28.8 . wurde der kurdische politiker mehmet demir zu drei jahren haft verurteilt . eingeknastet nach §129b waren 40 , zur zeit sind es zirka 20 gefangene . soziale und rebellische gefangene doch nicht nur linke aktivistinnen werden von diesem staat eingesperrt , sondern es werden alle menschen verfolgt und bestraft , die sich nicht konform verhalten . so wurde z.b. das „ erhöhte beförderungsentgelt “ der bahn für sogenanntes schwarzfahren bundesweit von 40 € auf 60 € angehoben . es werden selbst kleinste ladendiebstähle mit hohen tagessätzen belegt . aufgrund des kleinen geldbeutels können diese sachen oftmals nicht bezahlt werden und dann endet es mit der verurteilung zu einer haftstrafe . hinzu kommt die vermehrte abnahme von dna proben , während einer festnahme , durch die polizei . die betroffenen willigen leider häufig wegen unwissenheit ein , obwohl sie keine gesetzliche grundlage dazu verpflichtet und meist auf druck der durchführenden polizisten . das gefängnis ist also eine der wichtigsten institutionen des kapitalistisches systems , es dient der sozialer kontrolle , der disziplinierung und der repression . es werden also nicht nur politische , sondern auch rebellische und widerständige menschen weggesperrt . sie sollen hinter gittern isoliert , gebrochen und auf linie gebracht werden . deswegen fordern wir auch die freiheit der sozialen gefangenen ! widerstand gegen die haftbedingungen die seit dem mai 2014 bestehende gefangenen-gewerkschaft/bundesweite organisation ( gg/bo ) ist in etwa 45 haftanstalten mit bald 650 mitgliedern präsent . sie breitet sich weiter aus und verankert sich zunehmends in den knästen der brd . sie fordert gewerkschaftsfreiheit im gefängnis , eine bezahlung in höhe des gesetzlichen mindestlohns , den erwerb aller sozialversicherungsansprüche und ein ende des arbeitszwangs hinter gittern . für diese forderungen traten im dezember für zehn tage mehrere dutzend insassen in der hessischen jva butzbach in einen hunger - und bummelstreik , der mit großer medialer öffentlichkeit begleitet . der streik wurde nach 10 tagen beendet . ebenfalls war im april und mai gülaferit ünsal , die wegen §129b in berlin eingesperrt ist , für 54 tage in einem hungerstreik . nach 54 tagen konnte sie dank der solidarität von ebenfalls 6 hungerstreikenden §129b gefangenen und der solidarität von draußen durchsetzen , dass das gegen sie betriebene mobbing eingestellt wurde und sie die zeitschriften erhält , die ihr davor vorenthalten wurde.4 da es weitere schikanen gegen sie gab und ihr zeitungen vorenthalten wurden , war sie von 5. – 11 . oktober erneut in einem einwöchigen warnhungerstreik . auch die §129b-gefangenen sadi özpolat und özkan güzel waren für 43 und 48 tagen im hungerstreik und konnten sich schlussendlich mit ähnlichen forderungen durchsetzen . zurück zum 18 . märz in vielen städten dieser republik entfalten sich wegen dieses tages vielfältige aktivitäten , wie veranstaltungen und demonstrationen . zusätzlich gelingt es uns in den bürgerlichen und linken medien mit artikeln auf die lage der eingekerkerten aufmerksam zu machen . das sind lobenswerte initiativen , doch sie reichen bei weitem nicht aus , um ein wirksamer faktor gegen unterdrückung zu werden , denn die klassenjustiz verhindert mit allen seinen mitteln , dass sich was am staus quo ändert . warum das so ist wird deutlicher , wenn wir diesen staat genauer betrachten . kurze skizzierung der brd die lage in der brd ist dadurch gekennzeichnet , dass dieser staat weiterhin die stärkste europäische macht und auch federführend bei der konterrevolution in europa ist . innenpolitisch macht sich das fest an weiteren verschärfungen und einschnitten im sozialen bereich ( agenda 2010 ). diese hat auch vorbildcharakter für andere europäischen staaten wie z. b für spanien und sollen im rahmen von europa 2020 flächendeckend eingeführt werden . außenpolitisch übernimmt berlin immer öfters führende rollen bei kriegseinsätzen . gegenwärtig sind deutsche soldaten an 16 kriegen und militärischen missionen beteiligt . nachdem die griechische regierung am 13 . juli endgültig gegenüber der troika eingeknickt ist wird auch auf finanzieller ebene die führende rolle der brd zunehmend deutlicher . „ deutschland führt krieg . „ es ist ein brutaler wirtschaftskrieg , mit dem berlin das realisieren will , woran deutschlands eliten bereits zwei mal gescheitert sind – die hegemonie in europa . “ ( thomas konicz ) nicht zuletzt daraus kann erklärt werden warum das innenpolitische klima weiter durch einen rechtsruck geprägt ist : nicht nur durch rassistische bewegungen wie pegida , der afd , anderen rechtspopulistischen bewegungen oder faschistischen strukturen , sondern auch von den herrschenden parteien . allein im ersten halbjahr 2015 wurden über 500 flüchtlingsunterkünfte angegriffen . insbesondere durch die imperialistische einmischung in syrien kommen mehr geflüchtete nach deutschland , was von der herrschenden klasse dazu genutzt wird eine noch restriktivere flüchtlingspolitik und asylgesetzgebung weiter durchzusetzen . weiterhin läuft der „ nsu-prozess “ gegen die faschisten in münchen . in diesem verfahren wird die zusammenarbeit von faschisten mit teilen der geheimdienste , polizei und ministerien weiter geleugnet und vertuscht . probleme und grenzen der solidaritätsarbeit um es nochmal zu betonen , solidarität mit den gefangenen ist grundsätzlich wichtig , aber wir müssen uns fragen , ob die von uns organisierte solidarität ausreicht . nein ! weiterhin müssen wir uns deshalb fragen , was an druck und an initiativen fehlt . zum einen ist der 18 . märz bei vielen zur routine , zum einrichten und quasi zu anerkennung des status quo verkommen . „ wir machen ja an diesem tag etwas “. pflicht erfüllt , aber leblos . damit meinen wir den eventcharakter dieses tages , d.h. sich nur zu diesem tag zu verhalten , reicht nicht aus , um einen notwendigen druck erzeugen , um die ganze repressionsmaschinerie zum stürzen zu bringen . problematisch ist auch , dass nur ein kleiner teil der ( radikalen ) linken sich mit repression beschäftigt . weiterhin ist es oft so , dass nur dann betroffenheit da ist , wenn jemand aus dem eigenen politischen zusammenhang oder freundeskreis von unterdrückung und verfolgung betroffen ist . fakt ist auch , dass diverse antirepressionsgruppen nur vereinzelt agieren . der bezug auf andere von repression betroffene wird nicht oft gesucht , nicht gewollt oder aus politischen differenzen gemieden . die herrschenden hingegen sind mit der verzahnung ihrer repressionsapparate bundesweit und international viel weiter als wir . wir wären natürlich stärker , wenn wir alle an einem strang gegen die staatliche unterdrückung ziehen würden . somit müssen wir wege zu finden , um die grenzen der bisherigen solidaritätsarbeit zu durchbrechen . wichtige fragen sind dabei : was verbindet uns mit den gefangenen ? was sind unsere fragen und was ist unsere kritik an ihnen ? was sind unsere ziele ? wie weit sind wir selbst von den herrschenden normen wie z.b. entfremdung , ausbeutung , resignation betroffen ? wollen wir selbst das kapitalistische system abschaffen ? was tun ? um die fragen , probleme und hindernisse bezüglich der arbeit zum 18 . märz und gegen repression insgesamt zu lösen und somit zu beseitigen , stellen wir „ unsere eckpunkte gegen repression und für solidarität vor , die für uns eine gute basis für ein geeintes vorgehen gegen dieses klassensystem sind . in diesem sinne : freiheit für die sozialen und politischen gefangenen ! drinnen und draußen – ein kampf ! hoch die internationale solidarität ! unsere eckpunkte gegen repression und für solidarität linke und revolutionäre strukturen bekommen immer wieder angriffe der internationalen repressionsbehörden zu spüren . der notwendige widerstand gegen ausbeutung und unterdrückung wird mit allen mitteln verfolgt und versucht einzudämmen . doch die repression ist die logische konsequenz des kapitals , um den widerstand bereits im keim zu ersticken und die ausbeutungsbedingungen zu optimieren . diesen angriffen der staatlichen behörden müssen wir unsere geeinte antwort der solidarität entgegensetzen , dabei werden wir unsere kräfte bündeln , um trotz der repressionsschläge die klassenkämpfe von unten entwickeln zu können . aus diesem grund haben sich mehrere organisationen zusammen geschlossen um die antirepressionsarbeit zu stärken und eine verteidigungsfront aufzubauen . das erklärte ziel ist , das bewusstsein über repression als teil des klassenkampfes von oben zu stärken und angegriffene strukturen gemeinsam auf folgender grundlage zu organisieren . linke politik verteidigen um , als geeinte kämpferische und revolutionäre linke , repressionsschläge zurückdrängen zu können , müssen wir ohne ideologische vorbehalte eine gemeinsame position zur aufhebung von unterdrückungsverhältnissen auf einer solidarischen basis herausstellen und diese als ausgangsbasis einer gemeinsamen praxis betrachten . denn antifaschistischer , antikapitalistischer , antirassistischer , antipatriarchaler und antiimperialistischer widerstand wird über ideologische unterschiede hinweg verfolgt und angegriffen . wir wollen gemeinsam linke politik verteidigen ! gemeinsam werden wir angegriffen und gemeinsam müssen wir uns zur wehr setzen . fünf finger sind ´ne faust ! repression ist ein ausdruck des klassenkampfes von oben repression kann nicht losgelöst von den verhältnissen betrachtet werden , und richtet sich nicht ausschließlich gegen den aktiv kämpfenden teil der klasse , sondern gegen die gesamte klasse . soziale repression betrachten wir als teil des klassenkampfes von oben . wir sind keine karitative vereinigung … und haben keinen karitativen ansatz , sondern einen klassenkämpferischen . sogenannte „ kreative prozessführung “ lehnen wir ab nur aussageverweigerung und kollektives handeln im umgang mit der justiz können unsere solidarität und unseren widerstand stärken . dies ermöglicht ein geeintes , konsequentes vorgehen gegen staat und repression . keine zusammenarbeit mit staat und repressionsbehörden wir arbeiten nicht mit staat und repressionsbehörden zusammen . dies beginnt , als grundsätzlicher widerstand gegen alle formen der repression , vor dem ersten anquatschversuch und gilt für vorladungen und prozesse . wir halten stets an der aussageverweigerung fest , da wir von der klassenjustiz zu keinem zeitpunkt gerechtigkeit zu erwarten haben . aussagen sehen wir als politische fehler . eine konsequente aussageverweigerung hingegen bietet keine zusätzliche grundlage für folgende prozesse . dem staat darf keine möglichkeit gegeben werden durch spekulationen und gerüchte informationen oder hinweise abzuschöpfen . drinnen und draußen – ein kampf es ist ein gemeinsamer kampf , egal ob im knast oder draußen . der knast ist einer der schärfsten ausdrücke der repressionsbehörden , doch wir lassen uns durch keine mauern trennen im gemeinsamen kampf gegen den selben feind . gefangene genossinnen und genossen kämpfen weiter und müssen sich auf unterstützung von draußen verlassen können . __d__	true	negative		
http://twitter.com/RMVdialog/statuses/687167003333914624	zum direkten betrieb kann ich ihnen leider gar nicht so viel mitteilen . :/ vielleicht weiß @db_bahn hier mehr ? /ch __d__	true	negative	Allgemein:negative 	
http://www.freie-pressemitteilungen.de/modules.php?file=article&name=PresseMitteilungen&sid=173001	ist kein tabu ! " nagelpilz ist kein tabu ! , veröffentlicht am donnerstag , dem 21 . mai 2015 von nagelpilz ist kein tabu ! linda berät zum thema "" nagelpilz "". köln , 21.05.2015 - im aktionszeitraum vom 01.06 . bis 30.06.2015 bieten die linda apotheken ( http://www.linda ." __d__	true	negative		
http://twitter.com/lx4r/statuses/651321398594535424	okay , danke . ich versuche mein glück dann mal in pasing . __d__	true	negative	Allgemein:negative 	
http://www.facebook.com/152033178165965/posts/882077425161533#152033178165965\_882077425161533	: harald frank es gibt doch bei der db sicherlich ein betriebliches vorschlagswesen ?! wie wäre es , wenn die üblichen verdächtigen eishersteller in den zügen ihre werbebanner aufhängen dürfen ? die db erhält dann als gegenleistung eis am stiel und/oder in der tüte und verteilt dieses dann als kleine entschädigung kostenlos an ihre kunden . das wäre doch mal dienst am kunden !? __d__	true	negative	Allgemein:negative 	
http://www.radioessen.de/nrw-welt/aus-aller-welt/article/lufthansa-kein-konzerntarif-mehr-fuer-junge-piloten.html	: kein konzerntarif mehr für junge piloten : radio essen 03.06.2015 15:50 lufthansa : kein konzerntarif mehr für junge piloten frankfurt/main ( dpa ) - die lufthansa will junge piloten bis auf weiteres nicht mehr zu den bedingungen des bestehenden konzerntarifvertrags einstellen . das hat lufthansa-chef car __d__	true	negative		
http://twitter.com/NerdBashDE/statuses/667044530085093376	@_kente jep , trotzdem die erste bahn erwischt , die nicht mehr durchfuhr ! ; p ollenhauerstraße war gerade gut gefüllt ! __d__	true	negative	Allgemein:negative 	
http://www.facebook.com/232306660179000/posts/877933175616342?comment\_id=878088725600787#232306660179000\_877933175616342\_878088725600787	: mannheimer morgen sorry , wenn ich jetzt harte kritik ausüben muss . ich finde es gut , dass die suite geht , da es durch diese diskotek große verschmutzungen gegeben hat . ich selber arbeite bei der bahn gleich gegenüber und bin immerwieder verärgert , wie dadurch das angrenzende bahngelände verschmutzt . __d__	true	negative	Allgemein:negative 	
http://www.youtube.com/watch?v=3Il8JRF59R4	verkehrshistorisches wochenende bei der s bahn berlin ( 12.9.1998 ) das 1. vhw ist an mir vorbei gegangen , das 3. fand wohl nicht statt . jedenfalls fuhren wieder die historischen s-bahnen zur freude aller fotografen ( keine smartphones ) und den aufkommenden videoten . __d__	true	negative	Allgemein:negative 	
http://www.telefonanlagenforum.de/forum/telekommunikation-allgemein/unify-die-sterbende-bekommt-ein-brautkleid-t6018.0.html#3	: unify - die sterbende bekommt ein brautkleid " der journalist alter schule zieht die recherche dem nachplappern vor . natürlich nur , wenn man ihn läßt . also habe ich heute brav versucht , die betroffenen unternehmen zu befragen . bei atos gibt es eine warteschleife , für die man sich wohl der nettestklingenden der eigenen zentr alendamen bedient hat . ihr aufsagen des sprüchleins in deutsch und englisch erinnert geradezu anheimelnd an die durchsagen der zugbegleiter der dschörmen bahn . immerhin schöpft das unternehmen die möglichkeiten modernster technik voll aus und untermalt mir den gesamten vermittlungsprozeß mit einem hintergrundrauschen , das über mein high definition polycom wirklich 1 a nostalgisch wie analog klingt . den netten herrn an der zentrale scheint meine mitteilung , ich habe gelesen daß sein arbeitgeber eine telefonfirma gekauft habe zu verdattern , als sei einer landratte der leibhaftige klabauter erschienen . eine dame aus der wohl auf mehrere standorte verteilten kommunikationsabteilung traut auch die beantwortung von fragen , die man im support noch einem trainee überließe , nur dem pressesprecher zu . letzterer ist nur per handy - oder besser gesagt : mailbox - zu erreichen . big business , aber der pressesprecher hat keine sekretärin . nun ja , wir leben in - wie hubert kemmler es einst besang - goldenen zeiten . warten wir also auf das christkind , will sagen : den rückruf . die pressedame der braut hingegen hatte ich beim ersten versuch am hörer , aber sie wiegelt ab : nein , das möge ich doch nocheinmal gründlich lesen , nix heirat , erst nur verlobung . schließlich müsse ja noch bei der kartellbehörde um ihre hand angehalten werden . also alles erst in i/2016 , vorher gebe es natürlich keinerlei statements . nun ja , als oller gewerkschaftler lese ich konkrete zahlen zu übernommenen pensionsverpflichtungen nicht als ersten kuß , sondern wohl eher mindestens als verfärbten teststreifen . aber als brillenträger kann ich da ja auch irren . was dieses "" circuit "" denn überhaupt sei , darüber verliert sich die website in blumigen stylishen wölkchen , der faktengehalt ( schon auf dem 1 st level , also was es überhaupt ist , mal so zur grobeinordnung zwischen brotaufstrich und flugzeugträger ) läßt sich freundlich mit "" 0 % alkohol "" beschreiben . das kundenfeedback nach dem betatest kommt in gestalt eines videos , auf dem mir der ceo eines deutschen unternehmens in englischer sprache vorschwärmt , wie toll das zeug sei . immerhin werde ich daraus so weit schlau , daß man es nicht rauchen kann ; nein , es ist wohl eine anwendung für "" collaboration "" . das ist natürlich auch etwas feines und nützliches . aber wie soetwas eine hochpfad ablösen können soll , erkenne ich nicht . in diesem sinne ein offenes wort an alle entwickler hyperster itk : unified communication ist die zukunft , aber probleme wollen in der gegenwart gelöst sein . so lange meine generation der analogue natives noch im arbeitsleben steht , geht an bedienoberflächen mit der gewohnten haptischen präsenz eines fernsprechapparates kein weg vorbei . hinter dem tellerrand der virtualität findet die realität statt . wer hierfür keine bedienoberflächen anzubieten hat , der mag seine produkte zwar trotzdem verkaufen , aber eben nur an die flipchartwölkchen-entscheider . deren arbeitsebene geht in die innere kündigung , wenn es keine funktionsdedizierte hardware in die hand bekommt . nun mag mein persönlicher blick aufgrund meiner mittelstandslastigen klientel etwas konservativ sein , aber bodenständige inhaber-entscheider ( eine spezies mit hohem vollhafteranteil , ein schelm der da an einen kausalen zusammenhang denkt ) suchen für ihre probleme lösungen statt soluschens . die denken , soluschens seien für so luschen , da zählen die sich garnicht zur zielgruppe . das nur mal so als trinkspruch zur "" verlobung "" . im übrigen , als alter hobbythek-fan habe ich da mal etwas nachgerechnet : zitat siemens hatte das geschäft 2008 in ein gemeinschaftsunternehmen eingebracht , an dem der us-finanzinvestor gores mit 51 prozent die mehrheit hielt . damals erwirtschaftete das unternehmen mit mehr als 14.000 mitarbeitern 3,2 milliarden euro umsatz , heute sind davon 5600 mitarbeiter und 1,2 milliarden umsatz geblieben . bedeutet nach eva zwerg einen rückgang des pro-kopf-umsatzes von sechseinviertel prozent . oder auf b örsianisch formuliert : der synergieeffekt evaluiert sich in einem überdurchschnittlichen minuswachstum :-) gespeichert " __d__	true	negative		
http://www.facebook.com/224465028866/posts/10153193800553867?comment\_id=10153193826393867#224465028866\_10153193800553867\_10153193826393867	: radio duisburg ne,doppelt so viele kilometer über die bahn als durch stadt , dauert genauso lange __d__	true	negative	Allgemein:negative 	
